datasets\waterDataSet\imgAug\499.jpeg datasets\waterDataSet\labelAug\499.png datasets\waterDataSet\edge\499.png
datasets\waterDataSet\imgAug\3123.jpeg datasets\waterDataSet\labelAug\3123.png datasets\waterDataSet\edge\3123.png
datasets\waterDataSet\imgAug\1494.jpeg datasets\waterDataSet\labelAug\1494.png datasets\waterDataSet\edge\1494.png
datasets\waterDataSet\imgAug\699.jpeg datasets\waterDataSet\labelAug\699.png datasets\waterDataSet\edge\699.png
datasets\waterDataSet\imgAug\4908.jpeg datasets\waterDataSet\labelAug\4908.png datasets\waterDataSet\edge\4908.png
datasets\waterDataSet\imgAug\654.jpeg datasets\waterDataSet\labelAug\654.png datasets\waterDataSet\edge\654.png
datasets\waterDataSet\imgAug\4855.jpeg datasets\waterDataSet\labelAug\4855.png datasets\waterDataSet\edge\4855.png
datasets\waterDataSet\imgAug\948.jpeg datasets\waterDataSet\labelAug\948.png datasets\waterDataSet\edge\948.png
datasets\waterDataSet\imgAug\3658.jpeg datasets\waterDataSet\labelAug\3658.png datasets\waterDataSet\edge\3658.png
datasets\waterDataSet\imgAug\4836.jpeg datasets\waterDataSet\labelAug\4836.png datasets\waterDataSet\edge\4836.png
datasets\waterDataSet\imgAug\3644.jpeg datasets\waterDataSet\labelAug\3644.png datasets\waterDataSet\edge\3644.png
datasets\waterDataSet\imgAug\3849.jpeg datasets\waterDataSet\labelAug\3849.png datasets\waterDataSet\edge\3849.png
datasets\waterDataSet\imgAug\2778.jpeg datasets\waterDataSet\labelAug\2778.png datasets\waterDataSet\edge\2778.png
datasets\waterDataSet\imgAug\797.jpeg datasets\waterDataSet\labelAug\797.png datasets\waterDataSet\edge\797.png
datasets\waterDataSet\imgAug\572.jpeg datasets\waterDataSet\labelAug\572.png datasets\waterDataSet\edge\572.png
datasets\waterDataSet\imgAug\3051.jpeg datasets\waterDataSet\labelAug\3051.png datasets\waterDataSet\edge\3051.png
datasets\waterDataSet\imgAug\4444.jpeg datasets\waterDataSet\labelAug\4444.png datasets\waterDataSet\edge\4444.png
datasets\waterDataSet\imgAug\241.jpeg datasets\waterDataSet\labelAug\241.png datasets\waterDataSet\edge\241.png
datasets\waterDataSet\imgAug\3402.jpeg datasets\waterDataSet\labelAug\3402.png datasets\waterDataSet\edge\3402.png
datasets\waterDataSet\imgAug\618.jpeg datasets\waterDataSet\labelAug\618.png datasets\waterDataSet\edge\618.png
datasets\waterDataSet\imgAug\4309.jpeg datasets\waterDataSet\labelAug\4309.png datasets\waterDataSet\edge\4309.png
datasets\waterDataSet\imgAug\3590.jpeg datasets\waterDataSet\labelAug\3590.png datasets\waterDataSet\edge\3590.png
datasets\waterDataSet\imgAug\65.jpeg datasets\waterDataSet\labelAug\65.png datasets\waterDataSet\edge\65.png
datasets\waterDataSet\imgAug\1227.jpeg datasets\waterDataSet\labelAug\1227.png datasets\waterDataSet\edge\1227.png
datasets\waterDataSet\imgAug\2564.jpeg datasets\waterDataSet\labelAug\2564.png datasets\waterDataSet\edge\2564.png
datasets\waterDataSet\imgAug\1743.jpeg datasets\waterDataSet\labelAug\1743.png datasets\waterDataSet\edge\1743.png
datasets\waterDataSet\imgAug\4151.jpeg datasets\waterDataSet\labelAug\4151.png datasets\waterDataSet\edge\4151.png
datasets\waterDataSet\imgAug\2836.jpeg datasets\waterDataSet\labelAug\2836.png datasets\waterDataSet\edge\2836.png
datasets\waterDataSet\imgAug\2162.jpeg datasets\waterDataSet\labelAug\2162.png datasets\waterDataSet\edge\2162.png
datasets\waterDataSet\imgAug\4477.jpeg datasets\waterDataSet\labelAug\4477.png datasets\waterDataSet\edge\4477.png
datasets\waterDataSet\imgAug\2566.jpeg datasets\waterDataSet\labelAug\2566.png datasets\waterDataSet\edge\2566.png
datasets\waterDataSet\imgAug\737.jpeg datasets\waterDataSet\labelAug\737.png datasets\waterDataSet\edge\737.png
datasets\waterDataSet\imgAug\2035.jpeg datasets\waterDataSet\labelAug\2035.png datasets\waterDataSet\edge\2035.png
datasets\waterDataSet\imgAug\1719.jpeg datasets\waterDataSet\labelAug\1719.png datasets\waterDataSet\edge\1719.png
datasets\waterDataSet\imgAug\1300.jpeg datasets\waterDataSet\labelAug\1300.png datasets\waterDataSet\edge\1300.png
datasets\waterDataSet\imgAug\2027.jpeg datasets\waterDataSet\labelAug\2027.png datasets\waterDataSet\edge\2027.png
datasets\waterDataSet\imgAug\5083.jpeg datasets\waterDataSet\labelAug\5083.png datasets\waterDataSet\edge\5083.png
datasets\waterDataSet\imgAug\2960.jpeg datasets\waterDataSet\labelAug\2960.png datasets\waterDataSet\edge\2960.png
datasets\waterDataSet\imgAug\2063.jpeg datasets\waterDataSet\labelAug\2063.png datasets\waterDataSet\edge\2063.png
datasets\waterDataSet\imgAug\881.jpeg datasets\waterDataSet\labelAug\881.png datasets\waterDataSet\edge\881.png
datasets\waterDataSet\imgAug\2548.jpeg datasets\waterDataSet\labelAug\2548.png datasets\waterDataSet\edge\2548.png
datasets\waterDataSet\imgAug\1023.jpeg datasets\waterDataSet\labelAug\1023.png datasets\waterDataSet\edge\1023.png
datasets\waterDataSet\imgAug\4023.jpeg datasets\waterDataSet\labelAug\4023.png datasets\waterDataSet\edge\4023.png
datasets\waterDataSet\imgAug\3734.jpeg datasets\waterDataSet\labelAug\3734.png datasets\waterDataSet\edge\3734.png
datasets\waterDataSet\imgAug\2096.jpeg datasets\waterDataSet\labelAug\2096.png datasets\waterDataSet\edge\2096.png
datasets\waterDataSet\imgAug\4634.jpeg datasets\waterDataSet\labelAug\4634.png datasets\waterDataSet\edge\4634.png
datasets\waterDataSet\imgAug\1009.jpeg datasets\waterDataSet\labelAug\1009.png datasets\waterDataSet\edge\1009.png
datasets\waterDataSet\imgAug\1849.jpeg datasets\waterDataSet\labelAug\1849.png datasets\waterDataSet\edge\1849.png
datasets\waterDataSet\imgAug\1859.jpeg datasets\waterDataSet\labelAug\1859.png datasets\waterDataSet\edge\1859.png
datasets\waterDataSet\imgAug\1890.jpeg datasets\waterDataSet\labelAug\1890.png datasets\waterDataSet\edge\1890.png
datasets\waterDataSet\imgAug\934.jpeg datasets\waterDataSet\labelAug\934.png datasets\waterDataSet\edge\934.png
datasets\waterDataSet\imgAug\1306.jpeg datasets\waterDataSet\labelAug\1306.png datasets\waterDataSet\edge\1306.png
datasets\waterDataSet\imgAug\91.jpeg datasets\waterDataSet\labelAug\91.png datasets\waterDataSet\edge\91.png
datasets\waterDataSet\imgAug\3846.jpeg datasets\waterDataSet\labelAug\3846.png datasets\waterDataSet\edge\3846.png
datasets\waterDataSet\imgAug\20.jpeg datasets\waterDataSet\labelAug\20.png datasets\waterDataSet\edge\20.png
datasets\waterDataSet\imgAug\1602.jpeg datasets\waterDataSet\labelAug\1602.png datasets\waterDataSet\edge\1602.png
datasets\waterDataSet\imgAug\3361.jpeg datasets\waterDataSet\labelAug\3361.png datasets\waterDataSet\edge\3361.png
datasets\waterDataSet\imgAug\3165.jpeg datasets\waterDataSet\labelAug\3165.png datasets\waterDataSet\edge\3165.png
datasets\waterDataSet\imgAug\656.jpeg datasets\waterDataSet\labelAug\656.png datasets\waterDataSet\edge\656.png
datasets\waterDataSet\imgAug\2127.jpeg datasets\waterDataSet\labelAug\2127.png datasets\waterDataSet\edge\2127.png
datasets\waterDataSet\imgAug\3746.jpeg datasets\waterDataSet\labelAug\3746.png datasets\waterDataSet\edge\3746.png
datasets\waterDataSet\imgAug\1083.jpeg datasets\waterDataSet\labelAug\1083.png datasets\waterDataSet\edge\1083.png
datasets\waterDataSet\imgAug\1693.jpeg datasets\waterDataSet\labelAug\1693.png datasets\waterDataSet\edge\1693.png
datasets\waterDataSet\imgAug\4710.jpeg datasets\waterDataSet\labelAug\4710.png datasets\waterDataSet\edge\4710.png
datasets\waterDataSet\imgAug\2581.jpeg datasets\waterDataSet\labelAug\2581.png datasets\waterDataSet\edge\2581.png
datasets\waterDataSet\imgAug\4808.jpeg datasets\waterDataSet\labelAug\4808.png datasets\waterDataSet\edge\4808.png
datasets\waterDataSet\imgAug\1243.jpeg datasets\waterDataSet\labelAug\1243.png datasets\waterDataSet\edge\1243.png
datasets\waterDataSet\imgAug\84.jpeg datasets\waterDataSet\labelAug\84.png datasets\waterDataSet\edge\84.png
datasets\waterDataSet\imgAug\3539.jpeg datasets\waterDataSet\labelAug\3539.png datasets\waterDataSet\edge\3539.png
datasets\waterDataSet\imgAug\4257.jpeg datasets\waterDataSet\labelAug\4257.png datasets\waterDataSet\edge\4257.png
datasets\waterDataSet\imgAug\2280.jpeg datasets\waterDataSet\labelAug\2280.png datasets\waterDataSet\edge\2280.png
datasets\waterDataSet\imgAug\1775.jpeg datasets\waterDataSet\labelAug\1775.png datasets\waterDataSet\edge\1775.png
datasets\waterDataSet\imgAug\2173.jpeg datasets\waterDataSet\labelAug\2173.png datasets\waterDataSet\edge\2173.png
datasets\waterDataSet\imgAug\4487.jpeg datasets\waterDataSet\labelAug\4487.png datasets\waterDataSet\edge\4487.png
datasets\waterDataSet\imgAug\3356.jpeg datasets\waterDataSet\labelAug\3356.png datasets\waterDataSet\edge\3356.png
datasets\waterDataSet\imgAug\1919.jpeg datasets\waterDataSet\labelAug\1919.png datasets\waterDataSet\edge\1919.png
datasets\waterDataSet\imgAug\3763.jpeg datasets\waterDataSet\labelAug\3763.png datasets\waterDataSet\edge\3763.png
datasets\waterDataSet\imgAug\4531.jpeg datasets\waterDataSet\labelAug\4531.png datasets\waterDataSet\edge\4531.png
datasets\waterDataSet\imgAug\4372.jpeg datasets\waterDataSet\labelAug\4372.png datasets\waterDataSet\edge\4372.png
datasets\waterDataSet\imgAug\4890.jpeg datasets\waterDataSet\labelAug\4890.png datasets\waterDataSet\edge\4890.png
datasets\waterDataSet\imgAug\2367.jpeg datasets\waterDataSet\labelAug\2367.png datasets\waterDataSet\edge\2367.png
datasets\waterDataSet\imgAug\3048.jpeg datasets\waterDataSet\labelAug\3048.png datasets\waterDataSet\edge\3048.png
datasets\waterDataSet\imgAug\3098.jpeg datasets\waterDataSet\labelAug\3098.png datasets\waterDataSet\edge\3098.png
datasets\waterDataSet\imgAug\3684.jpeg datasets\waterDataSet\labelAug\3684.png datasets\waterDataSet\edge\3684.png
datasets\waterDataSet\imgAug\779.jpeg datasets\waterDataSet\labelAug\779.png datasets\waterDataSet\edge\779.png
datasets\waterDataSet\imgAug\5044.jpeg datasets\waterDataSet\labelAug\5044.png datasets\waterDataSet\edge\5044.png
datasets\waterDataSet\imgAug\99.jpeg datasets\waterDataSet\labelAug\99.png datasets\waterDataSet\edge\99.png
datasets\waterDataSet\imgAug\2030.jpeg datasets\waterDataSet\labelAug\2030.png datasets\waterDataSet\edge\2030.png
datasets\waterDataSet\imgAug\3264.jpeg datasets\waterDataSet\labelAug\3264.png datasets\waterDataSet\edge\3264.png
datasets\waterDataSet\imgAug\1741.jpeg datasets\waterDataSet\labelAug\1741.png datasets\waterDataSet\edge\1741.png
datasets\waterDataSet\imgAug\1129.jpeg datasets\waterDataSet\labelAug\1129.png datasets\waterDataSet\edge\1129.png
datasets\waterDataSet\imgAug\1446.jpeg datasets\waterDataSet\labelAug\1446.png datasets\waterDataSet\edge\1446.png
datasets\waterDataSet\imgAug\1905.jpeg datasets\waterDataSet\labelAug\1905.png datasets\waterDataSet\edge\1905.png
datasets\waterDataSet\imgAug\1808.jpeg datasets\waterDataSet\labelAug\1808.png datasets\waterDataSet\edge\1808.png
datasets\waterDataSet\imgAug\2695.jpeg datasets\waterDataSet\labelAug\2695.png datasets\waterDataSet\edge\2695.png
datasets\waterDataSet\imgAug\1508.jpeg datasets\waterDataSet\labelAug\1508.png datasets\waterDataSet\edge\1508.png
datasets\waterDataSet\imgAug\403.jpeg datasets\waterDataSet\labelAug\403.png datasets\waterDataSet\edge\403.png
datasets\waterDataSet\imgAug\681.jpeg datasets\waterDataSet\labelAug\681.png datasets\waterDataSet\edge\681.png
datasets\waterDataSet\imgAug\3366.jpeg datasets\waterDataSet\labelAug\3366.png datasets\waterDataSet\edge\3366.png
datasets\waterDataSet\imgAug\648.jpeg datasets\waterDataSet\labelAug\648.png datasets\waterDataSet\edge\648.png
datasets\waterDataSet\imgAug\4932.jpeg datasets\waterDataSet\labelAug\4932.png datasets\waterDataSet\edge\4932.png
datasets\waterDataSet\imgAug\344.jpeg datasets\waterDataSet\labelAug\344.png datasets\waterDataSet\edge\344.png
datasets\waterDataSet\imgAug\1410.jpeg datasets\waterDataSet\labelAug\1410.png datasets\waterDataSet\edge\1410.png
datasets\waterDataSet\imgAug\382.jpeg datasets\waterDataSet\labelAug\382.png datasets\waterDataSet\edge\382.png
datasets\waterDataSet\imgAug\4964.jpeg datasets\waterDataSet\labelAug\4964.png datasets\waterDataSet\edge\4964.png
datasets\waterDataSet\imgAug\2200.jpeg datasets\waterDataSet\labelAug\2200.png datasets\waterDataSet\edge\2200.png
datasets\waterDataSet\imgAug\4051.jpeg datasets\waterDataSet\labelAug\4051.png datasets\waterDataSet\edge\4051.png
datasets\waterDataSet\imgAug\1811.jpeg datasets\waterDataSet\labelAug\1811.png datasets\waterDataSet\edge\1811.png
datasets\waterDataSet\imgAug\1363.jpeg datasets\waterDataSet\labelAug\1363.png datasets\waterDataSet\edge\1363.png
datasets\waterDataSet\imgAug\4903.jpeg datasets\waterDataSet\labelAug\4903.png datasets\waterDataSet\edge\4903.png
datasets\waterDataSet\imgAug\4016.jpeg datasets\waterDataSet\labelAug\4016.png datasets\waterDataSet\edge\4016.png
datasets\waterDataSet\imgAug\4727.jpeg datasets\waterDataSet\labelAug\4727.png datasets\waterDataSet\edge\4727.png
datasets\waterDataSet\imgAug\1756.jpeg datasets\waterDataSet\labelAug\1756.png datasets\waterDataSet\edge\1756.png
datasets\waterDataSet\imgAug\4593.jpeg datasets\waterDataSet\labelAug\4593.png datasets\waterDataSet\edge\4593.png
datasets\waterDataSet\imgAug\4976.jpeg datasets\waterDataSet\labelAug\4976.png datasets\waterDataSet\edge\4976.png
datasets\waterDataSet\imgAug\4732.jpeg datasets\waterDataSet\labelAug\4732.png datasets\waterDataSet\edge\4732.png
datasets\waterDataSet\imgAug\839.jpeg datasets\waterDataSet\labelAug\839.png datasets\waterDataSet\edge\839.png
datasets\waterDataSet\imgAug\4114.jpeg datasets\waterDataSet\labelAug\4114.png datasets\waterDataSet\edge\4114.png
datasets\waterDataSet\imgAug\1924.jpeg datasets\waterDataSet\labelAug\1924.png datasets\waterDataSet\edge\1924.png
datasets\waterDataSet\imgAug\2524.jpeg datasets\waterDataSet\labelAug\2524.png datasets\waterDataSet\edge\2524.png
datasets\waterDataSet\imgAug\1333.jpeg datasets\waterDataSet\labelAug\1333.png datasets\waterDataSet\edge\1333.png
datasets\waterDataSet\imgAug\760.jpeg datasets\waterDataSet\labelAug\760.png datasets\waterDataSet\edge\760.png
datasets\waterDataSet\imgAug\3371.jpeg datasets\waterDataSet\labelAug\3371.png datasets\waterDataSet\edge\3371.png
datasets\waterDataSet\imgAug\2182.jpeg datasets\waterDataSet\labelAug\2182.png datasets\waterDataSet\edge\2182.png
datasets\waterDataSet\imgAug\2938.jpeg datasets\waterDataSet\labelAug\2938.png datasets\waterDataSet\edge\2938.png
datasets\waterDataSet\imgAug\5037.jpeg datasets\waterDataSet\labelAug\5037.png datasets\waterDataSet\edge\5037.png
datasets\waterDataSet\imgAug\2590.jpeg datasets\waterDataSet\labelAug\2590.png datasets\waterDataSet\edge\2590.png
datasets\waterDataSet\imgAug\3794.jpeg datasets\waterDataSet\labelAug\3794.png datasets\waterDataSet\edge\3794.png
datasets\waterDataSet\imgAug\4600.jpeg datasets\waterDataSet\labelAug\4600.png datasets\waterDataSet\edge\4600.png
datasets\waterDataSet\imgAug\4253.jpeg datasets\waterDataSet\labelAug\4253.png datasets\waterDataSet\edge\4253.png
datasets\waterDataSet\imgAug\2796.jpeg datasets\waterDataSet\labelAug\2796.png datasets\waterDataSet\edge\2796.png
datasets\waterDataSet\imgAug\2192.jpeg datasets\waterDataSet\labelAug\2192.png datasets\waterDataSet\edge\2192.png
datasets\waterDataSet\imgAug\2711.jpeg datasets\waterDataSet\labelAug\2711.png datasets\waterDataSet\edge\2711.png
datasets\waterDataSet\imgAug\1625.jpeg datasets\waterDataSet\labelAug\1625.png datasets\waterDataSet\edge\1625.png
datasets\waterDataSet\imgAug\2868.jpeg datasets\waterDataSet\labelAug\2868.png datasets\waterDataSet\edge\2868.png
datasets\waterDataSet\imgAug\3134.jpeg datasets\waterDataSet\labelAug\3134.png datasets\waterDataSet\edge\3134.png
datasets\waterDataSet\imgAug\2805.jpeg datasets\waterDataSet\labelAug\2805.png datasets\waterDataSet\edge\2805.png
datasets\waterDataSet\imgAug\4816.jpeg datasets\waterDataSet\labelAug\4816.png datasets\waterDataSet\edge\4816.png
datasets\waterDataSet\imgAug\3889.jpeg datasets\waterDataSet\labelAug\3889.png datasets\waterDataSet\edge\3889.png
datasets\waterDataSet\imgAug\3974.jpeg datasets\waterDataSet\labelAug\3974.png datasets\waterDataSet\edge\3974.png
datasets\waterDataSet\imgAug\2557.jpeg datasets\waterDataSet\labelAug\2557.png datasets\waterDataSet\edge\2557.png
datasets\waterDataSet\imgAug\4251.jpeg datasets\waterDataSet\labelAug\4251.png datasets\waterDataSet\edge\4251.png
datasets\waterDataSet\imgAug\4060.jpeg datasets\waterDataSet\labelAug\4060.png datasets\waterDataSet\edge\4060.png
datasets\waterDataSet\imgAug\11.jpeg datasets\waterDataSet\labelAug\11.png datasets\waterDataSet\edge\11.png
datasets\waterDataSet\imgAug\3810.jpeg datasets\waterDataSet\labelAug\3810.png datasets\waterDataSet\edge\3810.png
datasets\waterDataSet\imgAug\973.jpeg datasets\waterDataSet\labelAug\973.png datasets\waterDataSet\edge\973.png
datasets\waterDataSet\imgAug\2447.jpeg datasets\waterDataSet\labelAug\2447.png datasets\waterDataSet\edge\2447.png
datasets\waterDataSet\imgAug\3083.jpeg datasets\waterDataSet\labelAug\3083.png datasets\waterDataSet\edge\3083.png
datasets\waterDataSet\imgAug\4043.jpeg datasets\waterDataSet\labelAug\4043.png datasets\waterDataSet\edge\4043.png
datasets\waterDataSet\imgAug\825.jpeg datasets\waterDataSet\labelAug\825.png datasets\waterDataSet\edge\825.png
datasets\waterDataSet\imgAug\4070.jpeg datasets\waterDataSet\labelAug\4070.png datasets\waterDataSet\edge\4070.png
datasets\waterDataSet\imgAug\2593.jpeg datasets\waterDataSet\labelAug\2593.png datasets\waterDataSet\edge\2593.png
datasets\waterDataSet\imgAug\131.jpeg datasets\waterDataSet\labelAug\131.png datasets\waterDataSet\edge\131.png
datasets\waterDataSet\imgAug\966.jpeg datasets\waterDataSet\labelAug\966.png datasets\waterDataSet\edge\966.png
datasets\waterDataSet\imgAug\2975.jpeg datasets\waterDataSet\labelAug\2975.png datasets\waterDataSet\edge\2975.png
datasets\waterDataSet\imgAug\3908.jpeg datasets\waterDataSet\labelAug\3908.png datasets\waterDataSet\edge\3908.png
datasets\waterDataSet\imgAug\1904.jpeg datasets\waterDataSet\labelAug\1904.png datasets\waterDataSet\edge\1904.png
datasets\waterDataSet\imgAug\668.jpeg datasets\waterDataSet\labelAug\668.png datasets\waterDataSet\edge\668.png
datasets\waterDataSet\imgAug\2987.jpeg datasets\waterDataSet\labelAug\2987.png datasets\waterDataSet\edge\2987.png
datasets\waterDataSet\imgAug\3888.jpeg datasets\waterDataSet\labelAug\3888.png datasets\waterDataSet\edge\3888.png
datasets\waterDataSet\imgAug\2399.jpeg datasets\waterDataSet\labelAug\2399.png datasets\waterDataSet\edge\2399.png
datasets\waterDataSet\imgAug\2339.jpeg datasets\waterDataSet\labelAug\2339.png datasets\waterDataSet\edge\2339.png
datasets\waterDataSet\imgAug\1824.jpeg datasets\waterDataSet\labelAug\1824.png datasets\waterDataSet\edge\1824.png
datasets\waterDataSet\imgAug\4760.jpeg datasets\waterDataSet\labelAug\4760.png datasets\waterDataSet\edge\4760.png
datasets\waterDataSet\imgAug\3531.jpeg datasets\waterDataSet\labelAug\3531.png datasets\waterDataSet\edge\3531.png
datasets\waterDataSet\imgAug\4624.jpeg datasets\waterDataSet\labelAug\4624.png datasets\waterDataSet\edge\4624.png
datasets\waterDataSet\imgAug\1991.jpeg datasets\waterDataSet\labelAug\1991.png datasets\waterDataSet\edge\1991.png
datasets\waterDataSet\imgAug\1668.jpeg datasets\waterDataSet\labelAug\1668.png datasets\waterDataSet\edge\1668.png
datasets\waterDataSet\imgAug\1308.jpeg datasets\waterDataSet\labelAug\1308.png datasets\waterDataSet\edge\1308.png
datasets\waterDataSet\imgAug\2159.jpeg datasets\waterDataSet\labelAug\2159.png datasets\waterDataSet\edge\2159.png
datasets\waterDataSet\imgAug\1459.jpeg datasets\waterDataSet\labelAug\1459.png datasets\waterDataSet\edge\1459.png
datasets\waterDataSet\imgAug\4484.jpeg datasets\waterDataSet\labelAug\4484.png datasets\waterDataSet\edge\4484.png
datasets\waterDataSet\imgAug\3025.jpeg datasets\waterDataSet\labelAug\3025.png datasets\waterDataSet\edge\3025.png
datasets\waterDataSet\imgAug\636.jpeg datasets\waterDataSet\labelAug\636.png datasets\waterDataSet\edge\636.png
datasets\waterDataSet\imgAug\2091.jpeg datasets\waterDataSet\labelAug\2091.png datasets\waterDataSet\edge\2091.png
datasets\waterDataSet\imgAug\3528.jpeg datasets\waterDataSet\labelAug\3528.png datasets\waterDataSet\edge\3528.png
datasets\waterDataSet\imgAug\5015.jpeg datasets\waterDataSet\labelAug\5015.png datasets\waterDataSet\edge\5015.png
datasets\waterDataSet\imgAug\3438.jpeg datasets\waterDataSet\labelAug\3438.png datasets\waterDataSet\edge\3438.png
datasets\waterDataSet\imgAug\3831.jpeg datasets\waterDataSet\labelAug\3831.png datasets\waterDataSet\edge\3831.png
datasets\waterDataSet\imgAug\5120.jpeg datasets\waterDataSet\labelAug\5120.png datasets\waterDataSet\edge\5120.png
datasets\waterDataSet\imgAug\4772.jpeg datasets\waterDataSet\labelAug\4772.png datasets\waterDataSet\edge\4772.png
datasets\waterDataSet\imgAug\2325.jpeg datasets\waterDataSet\labelAug\2325.png datasets\waterDataSet\edge\2325.png
datasets\waterDataSet\imgAug\1599.jpeg datasets\waterDataSet\labelAug\1599.png datasets\waterDataSet\edge\1599.png
datasets\waterDataSet\imgAug\2279.jpeg datasets\waterDataSet\labelAug\2279.png datasets\waterDataSet\edge\2279.png
datasets\waterDataSet\imgAug\3875.jpeg datasets\waterDataSet\labelAug\3875.png datasets\waterDataSet\edge\3875.png
datasets\waterDataSet\imgAug\1702.jpeg datasets\waterDataSet\labelAug\1702.png datasets\waterDataSet\edge\1702.png
datasets\waterDataSet\imgAug\4811.jpeg datasets\waterDataSet\labelAug\4811.png datasets\waterDataSet\edge\4811.png
datasets\waterDataSet\imgAug\2978.jpeg datasets\waterDataSet\labelAug\2978.png datasets\waterDataSet\edge\2978.png
datasets\waterDataSet\imgAug\3194.jpeg datasets\waterDataSet\labelAug\3194.png datasets\waterDataSet\edge\3194.png
datasets\waterDataSet\imgAug\490.jpeg datasets\waterDataSet\labelAug\490.png datasets\waterDataSet\edge\490.png
datasets\waterDataSet\imgAug\2421.jpeg datasets\waterDataSet\labelAug\2421.png datasets\waterDataSet\edge\2421.png
datasets\waterDataSet\imgAug\3401.jpeg datasets\waterDataSet\labelAug\3401.png datasets\waterDataSet\edge\3401.png
datasets\waterDataSet\imgAug\2413.jpeg datasets\waterDataSet\labelAug\2413.png datasets\waterDataSet\edge\2413.png
datasets\waterDataSet\imgAug\2160.jpeg datasets\waterDataSet\labelAug\2160.png datasets\waterDataSet\edge\2160.png
datasets\waterDataSet\imgAug\4107.jpeg datasets\waterDataSet\labelAug\4107.png datasets\waterDataSet\edge\4107.png
datasets\waterDataSet\imgAug\1996.jpeg datasets\waterDataSet\labelAug\1996.png datasets\waterDataSet\edge\1996.png
datasets\waterDataSet\imgAug\4703.jpeg datasets\waterDataSet\labelAug\4703.png datasets\waterDataSet\edge\4703.png
datasets\waterDataSet\imgAug\512.jpeg datasets\waterDataSet\labelAug\512.png datasets\waterDataSet\edge\512.png
datasets\waterDataSet\imgAug\376.jpeg datasets\waterDataSet\labelAug\376.png datasets\waterDataSet\edge\376.png
datasets\waterDataSet\imgAug\1007.jpeg datasets\waterDataSet\labelAug\1007.png datasets\waterDataSet\edge\1007.png
datasets\waterDataSet\imgAug\5006.jpeg datasets\waterDataSet\labelAug\5006.png datasets\waterDataSet\edge\5006.png
