datasets\buildings\image\3463.png datasets\buildings\label2_gray\3463.png datasets\buildings\edge\3463.png
datasets\buildings\image\2396.png datasets\buildings\label2_gray\2396.png datasets\buildings\edge\2396.png
datasets\buildings\image\1740.png datasets\buildings\label2_gray\1740.png datasets\buildings\edge\1740.png
datasets\buildings\image\3659.png datasets\buildings\label2_gray\3659.png datasets\buildings\edge\3659.png
datasets\buildings\image\587.png datasets\buildings\label2_gray\587.png datasets\buildings\edge\587.png
datasets\buildings\image\4759.png datasets\buildings\label2_gray\4759.png datasets\buildings\edge\4759.png
datasets\buildings\image\1459.png datasets\buildings\label2_gray\1459.png datasets\buildings\edge\1459.png
datasets\buildings\image\4606.png datasets\buildings\label2_gray\4606.png datasets\buildings\edge\4606.png
datasets\buildings\image\2247.png datasets\buildings\label2_gray\2247.png datasets\buildings\edge\2247.png
datasets\buildings\image\1138.png datasets\buildings\label2_gray\1138.png datasets\buildings\edge\1138.png
datasets\buildings\image\415.png datasets\buildings\label2_gray\415.png datasets\buildings\edge\415.png
datasets\buildings\image\2057.png datasets\buildings\label2_gray\2057.png datasets\buildings\edge\2057.png
datasets\buildings\image\3704.png datasets\buildings\label2_gray\3704.png datasets\buildings\edge\3704.png
datasets\buildings\image\2239.png datasets\buildings\label2_gray\2239.png datasets\buildings\edge\2239.png
datasets\buildings\image\5767.png datasets\buildings\label2_gray\5767.png datasets\buildings\edge\5767.png
datasets\buildings\image\2484.png datasets\buildings\label2_gray\2484.png datasets\buildings\edge\2484.png
datasets\buildings\image\2950.png datasets\buildings\label2_gray\2950.png datasets\buildings\edge\2950.png
datasets\buildings\image\5027.png datasets\buildings\label2_gray\5027.png datasets\buildings\edge\5027.png
datasets\buildings\image\3583.png datasets\buildings\label2_gray\3583.png datasets\buildings\edge\3583.png
datasets\buildings\image\5007.png datasets\buildings\label2_gray\5007.png datasets\buildings\edge\5007.png
datasets\buildings\image\134.png datasets\buildings\label2_gray\134.png datasets\buildings\edge\134.png
datasets\buildings\image\2554.png datasets\buildings\label2_gray\2554.png datasets\buildings\edge\2554.png
datasets\buildings\image\3099.png datasets\buildings\label2_gray\3099.png datasets\buildings\edge\3099.png
datasets\buildings\image\1905.png datasets\buildings\label2_gray\1905.png datasets\buildings\edge\1905.png
datasets\buildings\image\3874.png datasets\buildings\label2_gray\3874.png datasets\buildings\edge\3874.png
datasets\buildings\image\79.png datasets\buildings\label2_gray\79.png datasets\buildings\edge\79.png
datasets\buildings\image\4790.png datasets\buildings\label2_gray\4790.png datasets\buildings\edge\4790.png
datasets\buildings\image\4734.png datasets\buildings\label2_gray\4734.png datasets\buildings\edge\4734.png
datasets\buildings\image\1358.png datasets\buildings\label2_gray\1358.png datasets\buildings\edge\1358.png
datasets\buildings\image\1888.png datasets\buildings\label2_gray\1888.png datasets\buildings\edge\1888.png
datasets\buildings\image\4348.png datasets\buildings\label2_gray\4348.png datasets\buildings\edge\4348.png
datasets\buildings\image\2811.png datasets\buildings\label2_gray\2811.png datasets\buildings\edge\2811.png
datasets\buildings\image\5048.png datasets\buildings\label2_gray\5048.png datasets\buildings\edge\5048.png
datasets\buildings\image\1386.png datasets\buildings\label2_gray\1386.png datasets\buildings\edge\1386.png
datasets\buildings\image\3870.png datasets\buildings\label2_gray\3870.png datasets\buildings\edge\3870.png
datasets\buildings\image\4696.png datasets\buildings\label2_gray\4696.png datasets\buildings\edge\4696.png
datasets\buildings\image\5534.png datasets\buildings\label2_gray\5534.png datasets\buildings\edge\5534.png
datasets\buildings\image\2347.png datasets\buildings\label2_gray\2347.png datasets\buildings\edge\2347.png
datasets\buildings\image\386.png datasets\buildings\label2_gray\386.png datasets\buildings\edge\386.png
datasets\buildings\image\3248.png datasets\buildings\label2_gray\3248.png datasets\buildings\edge\3248.png
datasets\buildings\image\5679.png datasets\buildings\label2_gray\5679.png datasets\buildings\edge\5679.png
datasets\buildings\image\715.png datasets\buildings\label2_gray\715.png datasets\buildings\edge\715.png
datasets\buildings\image\5577.png datasets\buildings\label2_gray\5577.png datasets\buildings\edge\5577.png
datasets\buildings\image\2112.png datasets\buildings\label2_gray\2112.png datasets\buildings\edge\2112.png
datasets\buildings\image\5710.png datasets\buildings\label2_gray\5710.png datasets\buildings\edge\5710.png
datasets\buildings\image\4356.png datasets\buildings\label2_gray\4356.png datasets\buildings\edge\4356.png
datasets\buildings\image\4228.png datasets\buildings\label2_gray\4228.png datasets\buildings\edge\4228.png
datasets\buildings\image\5868.png datasets\buildings\label2_gray\5868.png datasets\buildings\edge\5868.png
datasets\buildings\image\4784.png datasets\buildings\label2_gray\4784.png datasets\buildings\edge\4784.png
datasets\buildings\image\4434.png datasets\buildings\label2_gray\4434.png datasets\buildings\edge\4434.png
datasets\buildings\image\1881.png datasets\buildings\label2_gray\1881.png datasets\buildings\edge\1881.png
datasets\buildings\image\4413.png datasets\buildings\label2_gray\4413.png datasets\buildings\edge\4413.png
datasets\buildings\image\83.png datasets\buildings\label2_gray\83.png datasets\buildings\edge\83.png
datasets\buildings\image\2845.png datasets\buildings\label2_gray\2845.png datasets\buildings\edge\2845.png
datasets\buildings\image\3769.png datasets\buildings\label2_gray\3769.png datasets\buildings\edge\3769.png
datasets\buildings\image\3896.png datasets\buildings\label2_gray\3896.png datasets\buildings\edge\3896.png
datasets\buildings\image\1909.png datasets\buildings\label2_gray\1909.png datasets\buildings\edge\1909.png
datasets\buildings\image\2846.png datasets\buildings\label2_gray\2846.png datasets\buildings\edge\2846.png
datasets\buildings\image\1277.png datasets\buildings\label2_gray\1277.png datasets\buildings\edge\1277.png
datasets\buildings\image\5891.png datasets\buildings\label2_gray\5891.png datasets\buildings\edge\5891.png
datasets\buildings\image\145.png datasets\buildings\label2_gray\145.png datasets\buildings\edge\145.png
datasets\buildings\image\4409.png datasets\buildings\label2_gray\4409.png datasets\buildings\edge\4409.png
datasets\buildings\image\716.png datasets\buildings\label2_gray\716.png datasets\buildings\edge\716.png
datasets\buildings\image\5081.png datasets\buildings\label2_gray\5081.png datasets\buildings\edge\5081.png
datasets\buildings\image\3444.png datasets\buildings\label2_gray\3444.png datasets\buildings\edge\3444.png
datasets\buildings\image\4202.png datasets\buildings\label2_gray\4202.png datasets\buildings\edge\4202.png
datasets\buildings\image\5517.png datasets\buildings\label2_gray\5517.png datasets\buildings\edge\5517.png
datasets\buildings\image\850.png datasets\buildings\label2_gray\850.png datasets\buildings\edge\850.png
datasets\buildings\image\5239.png datasets\buildings\label2_gray\5239.png datasets\buildings\edge\5239.png
datasets\buildings\image\2263.png datasets\buildings\label2_gray\2263.png datasets\buildings\edge\2263.png
datasets\buildings\image\3063.png datasets\buildings\label2_gray\3063.png datasets\buildings\edge\3063.png
datasets\buildings\image\816.png datasets\buildings\label2_gray\816.png datasets\buildings\edge\816.png
datasets\buildings\image\5.png datasets\buildings\label2_gray\5.png datasets\buildings\edge\5.png
datasets\buildings\image\5458.png datasets\buildings\label2_gray\5458.png datasets\buildings\edge\5458.png
datasets\buildings\image\3328.png datasets\buildings\label2_gray\3328.png datasets\buildings\edge\3328.png
datasets\buildings\image\2687.png datasets\buildings\label2_gray\2687.png datasets\buildings\edge\2687.png
datasets\buildings\image\2551.png datasets\buildings\label2_gray\2551.png datasets\buildings\edge\2551.png
datasets\buildings\image\5075.png datasets\buildings\label2_gray\5075.png datasets\buildings\edge\5075.png
datasets\buildings\image\5281.png datasets\buildings\label2_gray\5281.png datasets\buildings\edge\5281.png
datasets\buildings\image\5321.png datasets\buildings\label2_gray\5321.png datasets\buildings\edge\5321.png
datasets\buildings\image\5740.png datasets\buildings\label2_gray\5740.png datasets\buildings\edge\5740.png
datasets\buildings\image\2576.png datasets\buildings\label2_gray\2576.png datasets\buildings\edge\2576.png
datasets\buildings\image\763.png datasets\buildings\label2_gray\763.png datasets\buildings\edge\763.png
datasets\buildings\image\1957.png datasets\buildings\label2_gray\1957.png datasets\buildings\edge\1957.png
datasets\buildings\image\2761.png datasets\buildings\label2_gray\2761.png datasets\buildings\edge\2761.png
datasets\buildings\image\4646.png datasets\buildings\label2_gray\4646.png datasets\buildings\edge\4646.png
datasets\buildings\image\1206.png datasets\buildings\label2_gray\1206.png datasets\buildings\edge\1206.png
datasets\buildings\image\1658.png datasets\buildings\label2_gray\1658.png datasets\buildings\edge\1658.png
datasets\buildings\image\732.png datasets\buildings\label2_gray\732.png datasets\buildings\edge\732.png
datasets\buildings\image\2545.png datasets\buildings\label2_gray\2545.png datasets\buildings\edge\2545.png
datasets\buildings\image\2342.png datasets\buildings\label2_gray\2342.png datasets\buildings\edge\2342.png
datasets\buildings\image\5459.png datasets\buildings\label2_gray\5459.png datasets\buildings\edge\5459.png
datasets\buildings\image\5393.png datasets\buildings\label2_gray\5393.png datasets\buildings\edge\5393.png
datasets\buildings\image\986.png datasets\buildings\label2_gray\986.png datasets\buildings\edge\986.png
datasets\buildings\image\2093.png datasets\buildings\label2_gray\2093.png datasets\buildings\edge\2093.png
datasets\buildings\image\5251.png datasets\buildings\label2_gray\5251.png datasets\buildings\edge\5251.png
datasets\buildings\image\2458.png datasets\buildings\label2_gray\2458.png datasets\buildings\edge\2458.png
datasets\buildings\image\1684.png datasets\buildings\label2_gray\1684.png datasets\buildings\edge\1684.png
datasets\buildings\image\2035.png datasets\buildings\label2_gray\2035.png datasets\buildings\edge\2035.png
datasets\buildings\image\2926.png datasets\buildings\label2_gray\2926.png datasets\buildings\edge\2926.png
datasets\buildings\image\1074.png datasets\buildings\label2_gray\1074.png datasets\buildings\edge\1074.png
datasets\buildings\image\1079.png datasets\buildings\label2_gray\1079.png datasets\buildings\edge\1079.png
datasets\buildings\image\1121.png datasets\buildings\label2_gray\1121.png datasets\buildings\edge\1121.png
datasets\buildings\image\274.png datasets\buildings\label2_gray\274.png datasets\buildings\edge\274.png
datasets\buildings\image\1197.png datasets\buildings\label2_gray\1197.png datasets\buildings\edge\1197.png
datasets\buildings\image\5900.png datasets\buildings\label2_gray\5900.png datasets\buildings\edge\5900.png
datasets\buildings\image\3090.png datasets\buildings\label2_gray\3090.png datasets\buildings\edge\3090.png
datasets\buildings\image\1361.png datasets\buildings\label2_gray\1361.png datasets\buildings\edge\1361.png
datasets\buildings\image\1715.png datasets\buildings\label2_gray\1715.png datasets\buildings\edge\1715.png
datasets\buildings\image\2175.png datasets\buildings\label2_gray\2175.png datasets\buildings\edge\2175.png
datasets\buildings\image\363.png datasets\buildings\label2_gray\363.png datasets\buildings\edge\363.png
datasets\buildings\image\3320.png datasets\buildings\label2_gray\3320.png datasets\buildings\edge\3320.png
datasets\buildings\image\1949.png datasets\buildings\label2_gray\1949.png datasets\buildings\edge\1949.png
datasets\buildings\image\5310.png datasets\buildings\label2_gray\5310.png datasets\buildings\edge\5310.png
datasets\buildings\image\3069.png datasets\buildings\label2_gray\3069.png datasets\buildings\edge\3069.png
datasets\buildings\image\4510.png datasets\buildings\label2_gray\4510.png datasets\buildings\edge\4510.png
datasets\buildings\image\2034.png datasets\buildings\label2_gray\2034.png datasets\buildings\edge\2034.png
datasets\buildings\image\706.png datasets\buildings\label2_gray\706.png datasets\buildings\edge\706.png
datasets\buildings\image\5008.png datasets\buildings\label2_gray\5008.png datasets\buildings\edge\5008.png
datasets\buildings\image\1565.png datasets\buildings\label2_gray\1565.png datasets\buildings\edge\1565.png
datasets\buildings\image\2543.png datasets\buildings\label2_gray\2543.png datasets\buildings\edge\2543.png
datasets\buildings\image\1140.png datasets\buildings\label2_gray\1140.png datasets\buildings\edge\1140.png
datasets\buildings\image\5417.png datasets\buildings\label2_gray\5417.png datasets\buildings\edge\5417.png
datasets\buildings\image\1147.png datasets\buildings\label2_gray\1147.png datasets\buildings\edge\1147.png
datasets\buildings\image\718.png datasets\buildings\label2_gray\718.png datasets\buildings\edge\718.png
datasets\buildings\image\1247.png datasets\buildings\label2_gray\1247.png datasets\buildings\edge\1247.png
datasets\buildings\image\1661.png datasets\buildings\label2_gray\1661.png datasets\buildings\edge\1661.png
datasets\buildings\image\4215.png datasets\buildings\label2_gray\4215.png datasets\buildings\edge\4215.png
datasets\buildings\image\5445.png datasets\buildings\label2_gray\5445.png datasets\buildings\edge\5445.png
datasets\buildings\image\4519.png datasets\buildings\label2_gray\4519.png datasets\buildings\edge\4519.png
datasets\buildings\image\3889.png datasets\buildings\label2_gray\3889.png datasets\buildings\edge\3889.png
datasets\buildings\image\2318.png datasets\buildings\label2_gray\2318.png datasets\buildings\edge\2318.png
datasets\buildings\image\1047.png datasets\buildings\label2_gray\1047.png datasets\buildings\edge\1047.png
datasets\buildings\image\5261.png datasets\buildings\label2_gray\5261.png datasets\buildings\edge\5261.png
datasets\buildings\image\4385.png datasets\buildings\label2_gray\4385.png datasets\buildings\edge\4385.png
datasets\buildings\image\4953.png datasets\buildings\label2_gray\4953.png datasets\buildings\edge\4953.png
datasets\buildings\image\3049.png datasets\buildings\label2_gray\3049.png datasets\buildings\edge\3049.png
datasets\buildings\image\2625.png datasets\buildings\label2_gray\2625.png datasets\buildings\edge\2625.png
datasets\buildings\image\3485.png datasets\buildings\label2_gray\3485.png datasets\buildings\edge\3485.png
datasets\buildings\image\4583.png datasets\buildings\label2_gray\4583.png datasets\buildings\edge\4583.png
datasets\buildings\image\5487.png datasets\buildings\label2_gray\5487.png datasets\buildings\edge\5487.png
datasets\buildings\image\1370.png datasets\buildings\label2_gray\1370.png datasets\buildings\edge\1370.png
datasets\buildings\image\5147.png datasets\buildings\label2_gray\5147.png datasets\buildings\edge\5147.png
datasets\buildings\image\4041.png datasets\buildings\label2_gray\4041.png datasets\buildings\edge\4041.png
datasets\buildings\image\5209.png datasets\buildings\label2_gray\5209.png datasets\buildings\edge\5209.png
datasets\buildings\image\4237.png datasets\buildings\label2_gray\4237.png datasets\buildings\edge\4237.png
datasets\buildings\image\5300.png datasets\buildings\label2_gray\5300.png datasets\buildings\edge\5300.png
datasets\buildings\image\436.png datasets\buildings\label2_gray\436.png datasets\buildings\edge\436.png
datasets\buildings\image\5973.png datasets\buildings\label2_gray\5973.png datasets\buildings\edge\5973.png
datasets\buildings\image\5491.png datasets\buildings\label2_gray\5491.png datasets\buildings\edge\5491.png
datasets\buildings\image\541.png datasets\buildings\label2_gray\541.png datasets\buildings\edge\541.png
datasets\buildings\image\5152.png datasets\buildings\label2_gray\5152.png datasets\buildings\edge\5152.png
datasets\buildings\image\5629.png datasets\buildings\label2_gray\5629.png datasets\buildings\edge\5629.png
datasets\buildings\image\5544.png datasets\buildings\label2_gray\5544.png datasets\buildings\edge\5544.png
datasets\buildings\image\3404.png datasets\buildings\label2_gray\3404.png datasets\buildings\edge\3404.png
datasets\buildings\image\3220.png datasets\buildings\label2_gray\3220.png datasets\buildings\edge\3220.png
datasets\buildings\image\579.png datasets\buildings\label2_gray\579.png datasets\buildings\edge\579.png
datasets\buildings\image\237.png datasets\buildings\label2_gray\237.png datasets\buildings\edge\237.png
datasets\buildings\image\2479.png datasets\buildings\label2_gray\2479.png datasets\buildings\edge\2479.png
datasets\buildings\image\4055.png datasets\buildings\label2_gray\4055.png datasets\buildings\edge\4055.png
datasets\buildings\image\794.png datasets\buildings\label2_gray\794.png datasets\buildings\edge\794.png
datasets\buildings\image\5354.png datasets\buildings\label2_gray\5354.png datasets\buildings\edge\5354.png
datasets\buildings\image\4942.png datasets\buildings\label2_gray\4942.png datasets\buildings\edge\4942.png
datasets\buildings\image\1633.png datasets\buildings\label2_gray\1633.png datasets\buildings\edge\1633.png
datasets\buildings\image\4026.png datasets\buildings\label2_gray\4026.png datasets\buildings\edge\4026.png
datasets\buildings\image\144.png datasets\buildings\label2_gray\144.png datasets\buildings\edge\144.png
datasets\buildings\image\3399.png datasets\buildings\label2_gray\3399.png datasets\buildings\edge\3399.png
datasets\buildings\image\390.png datasets\buildings\label2_gray\390.png datasets\buildings\edge\390.png
datasets\buildings\image\2771.png datasets\buildings\label2_gray\2771.png datasets\buildings\edge\2771.png
datasets\buildings\image\4880.png datasets\buildings\label2_gray\4880.png datasets\buildings\edge\4880.png
datasets\buildings\image\4688.png datasets\buildings\label2_gray\4688.png datasets\buildings\edge\4688.png
datasets\buildings\image\1858.png datasets\buildings\label2_gray\1858.png datasets\buildings\edge\1858.png
datasets\buildings\image\3908.png datasets\buildings\label2_gray\3908.png datasets\buildings\edge\3908.png
datasets\buildings\image\2589.png datasets\buildings\label2_gray\2589.png datasets\buildings\edge\2589.png
datasets\buildings\image\3619.png datasets\buildings\label2_gray\3619.png datasets\buildings\edge\3619.png
datasets\buildings\image\3039.png datasets\buildings\label2_gray\3039.png datasets\buildings\edge\3039.png
datasets\buildings\image\3198.png datasets\buildings\label2_gray\3198.png datasets\buildings\edge\3198.png
datasets\buildings\image\4661.png datasets\buildings\label2_gray\4661.png datasets\buildings\edge\4661.png
datasets\buildings\image\232.png datasets\buildings\label2_gray\232.png datasets\buildings\edge\232.png
datasets\buildings\image\5088.png datasets\buildings\label2_gray\5088.png datasets\buildings\edge\5088.png
datasets\buildings\image\1029.png datasets\buildings\label2_gray\1029.png datasets\buildings\edge\1029.png
datasets\buildings\image\1060.png datasets\buildings\label2_gray\1060.png datasets\buildings\edge\1060.png
datasets\buildings\image\1267.png datasets\buildings\label2_gray\1267.png datasets\buildings\edge\1267.png
datasets\buildings\image\4866.png datasets\buildings\label2_gray\4866.png datasets\buildings\edge\4866.png
datasets\buildings\image\5425.png datasets\buildings\label2_gray\5425.png datasets\buildings\edge\5425.png
datasets\buildings\image\1592.png datasets\buildings\label2_gray\1592.png datasets\buildings\edge\1592.png
datasets\buildings\image\5830.png datasets\buildings\label2_gray\5830.png datasets\buildings\edge\5830.png
datasets\buildings\image\1699.png datasets\buildings\label2_gray\1699.png datasets\buildings\edge\1699.png
datasets\buildings\image\3420.png datasets\buildings\label2_gray\3420.png datasets\buildings\edge\3420.png
datasets\buildings\image\5047.png datasets\buildings\label2_gray\5047.png datasets\buildings\edge\5047.png
datasets\buildings\image\1654.png datasets\buildings\label2_gray\1654.png datasets\buildings\edge\1654.png
datasets\buildings\image\1436.png datasets\buildings\label2_gray\1436.png datasets\buildings\edge\1436.png
datasets\buildings\image\3074.png datasets\buildings\label2_gray\3074.png datasets\buildings\edge\3074.png
datasets\buildings\image\2599.png datasets\buildings\label2_gray\2599.png datasets\buildings\edge\2599.png
datasets\buildings\image\3252.png datasets\buildings\label2_gray\3252.png datasets\buildings\edge\3252.png
datasets\buildings\image\1865.png datasets\buildings\label2_gray\1865.png datasets\buildings\edge\1865.png
datasets\buildings\image\2850.png datasets\buildings\label2_gray\2850.png datasets\buildings\edge\2850.png
datasets\buildings\image\5738.png datasets\buildings\label2_gray\5738.png datasets\buildings\edge\5738.png
datasets\buildings\image\3397.png datasets\buildings\label2_gray\3397.png datasets\buildings\edge\3397.png
datasets\buildings\image\2779.png datasets\buildings\label2_gray\2779.png datasets\buildings\edge\2779.png
datasets\buildings\image\1044.png datasets\buildings\label2_gray\1044.png datasets\buildings\edge\1044.png
datasets\buildings\image\3480.png datasets\buildings\label2_gray\3480.png datasets\buildings\edge\3480.png
datasets\buildings\image\429.png datasets\buildings\label2_gray\429.png datasets\buildings\edge\429.png
datasets\buildings\image\3240.png datasets\buildings\label2_gray\3240.png datasets\buildings\edge\3240.png
datasets\buildings\image\1937.png datasets\buildings\label2_gray\1937.png datasets\buildings\edge\1937.png
datasets\buildings\image\1730.png datasets\buildings\label2_gray\1730.png datasets\buildings\edge\1730.png
datasets\buildings\image\1201.png datasets\buildings\label2_gray\1201.png datasets\buildings\edge\1201.png
datasets\buildings\image\5811.png datasets\buildings\label2_gray\5811.png datasets\buildings\edge\5811.png
datasets\buildings\image\3498.png datasets\buildings\label2_gray\3498.png datasets\buildings\edge\3498.png
datasets\buildings\image\2385.png datasets\buildings\label2_gray\2385.png datasets\buildings\edge\2385.png
datasets\buildings\image\1917.png datasets\buildings\label2_gray\1917.png datasets\buildings\edge\1917.png
datasets\buildings\image\5687.png datasets\buildings\label2_gray\5687.png datasets\buildings\edge\5687.png
datasets\buildings\image\3598.png datasets\buildings\label2_gray\3598.png datasets\buildings\edge\3598.png
datasets\buildings\image\453.png datasets\buildings\label2_gray\453.png datasets\buildings\edge\453.png
datasets\buildings\image\4624.png datasets\buildings\label2_gray\4624.png datasets\buildings\edge\4624.png
datasets\buildings\image\728.png datasets\buildings\label2_gray\728.png datasets\buildings\edge\728.png
datasets\buildings\image\4155.png datasets\buildings\label2_gray\4155.png datasets\buildings\edge\4155.png
datasets\buildings\image\1527.png datasets\buildings\label2_gray\1527.png datasets\buildings\edge\1527.png
datasets\buildings\image\1597.png datasets\buildings\label2_gray\1597.png datasets\buildings\edge\1597.png
datasets\buildings\image\54.png datasets\buildings\label2_gray\54.png datasets\buildings\edge\54.png
datasets\buildings\image\3877.png datasets\buildings\label2_gray\3877.png datasets\buildings\edge\3877.png
datasets\buildings\image\4639.png datasets\buildings\label2_gray\4639.png datasets\buildings\edge\4639.png
datasets\buildings\image\1760.png datasets\buildings\label2_gray\1760.png datasets\buildings\edge\1760.png
datasets\buildings\image\5412.png datasets\buildings\label2_gray\5412.png datasets\buildings\edge\5412.png
datasets\buildings\image\3087.png datasets\buildings\label2_gray\3087.png datasets\buildings\edge\3087.png
datasets\buildings\image\2376.png datasets\buildings\label2_gray\2376.png datasets\buildings\edge\2376.png
datasets\buildings\image\137.png datasets\buildings\label2_gray\137.png datasets\buildings\edge\137.png
datasets\buildings\image\3514.png datasets\buildings\label2_gray\3514.png datasets\buildings\edge\3514.png
datasets\buildings\image\5219.png datasets\buildings\label2_gray\5219.png datasets\buildings\edge\5219.png
datasets\buildings\image\4955.png datasets\buildings\label2_gray\4955.png datasets\buildings\edge\4955.png
datasets\buildings\image\2131.png datasets\buildings\label2_gray\2131.png datasets\buildings\edge\2131.png
datasets\buildings\image\1936.png datasets\buildings\label2_gray\1936.png datasets\buildings\edge\1936.png
datasets\buildings\image\1351.png datasets\buildings\label2_gray\1351.png datasets\buildings\edge\1351.png
datasets\buildings\image\3823.png datasets\buildings\label2_gray\3823.png datasets\buildings\edge\3823.png
datasets\buildings\image\3205.png datasets\buildings\label2_gray\3205.png datasets\buildings\edge\3205.png
datasets\buildings\image\267.png datasets\buildings\label2_gray\267.png datasets\buildings\edge\267.png
datasets\buildings\image\5157.png datasets\buildings\label2_gray\5157.png datasets\buildings\edge\5157.png
datasets\buildings\image\5099.png datasets\buildings\label2_gray\5099.png datasets\buildings\edge\5099.png
datasets\buildings\image\1711.png datasets\buildings\label2_gray\1711.png datasets\buildings\edge\1711.png
datasets\buildings\image\2899.png datasets\buildings\label2_gray\2899.png datasets\buildings\edge\2899.png
datasets\buildings\image\381.png datasets\buildings\label2_gray\381.png datasets\buildings\edge\381.png
datasets\buildings\image\4035.png datasets\buildings\label2_gray\4035.png datasets\buildings\edge\4035.png
datasets\buildings\image\4220.png datasets\buildings\label2_gray\4220.png datasets\buildings\edge\4220.png
datasets\buildings\image\1063.png datasets\buildings\label2_gray\1063.png datasets\buildings\edge\1063.png
datasets\buildings\image\5553.png datasets\buildings\label2_gray\5553.png datasets\buildings\edge\5553.png
datasets\buildings\image\5454.png datasets\buildings\label2_gray\5454.png datasets\buildings\edge\5454.png
datasets\buildings\image\5583.png datasets\buildings\label2_gray\5583.png datasets\buildings\edge\5583.png
datasets\buildings\image\3983.png datasets\buildings\label2_gray\3983.png datasets\buildings\edge\3983.png
datasets\buildings\image\5821.png datasets\buildings\label2_gray\5821.png datasets\buildings\edge\5821.png
datasets\buildings\image\1503.png datasets\buildings\label2_gray\1503.png datasets\buildings\edge\1503.png
datasets\buildings\image\1998.png datasets\buildings\label2_gray\1998.png datasets\buildings\edge\1998.png
datasets\buildings\image\5998.png datasets\buildings\label2_gray\5998.png datasets\buildings\edge\5998.png
datasets\buildings\image\5385.png datasets\buildings\label2_gray\5385.png datasets\buildings\edge\5385.png
datasets\buildings\image\4467.png datasets\buildings\label2_gray\4467.png datasets\buildings\edge\4467.png
datasets\buildings\image\5166.png datasets\buildings\label2_gray\5166.png datasets\buildings\edge\5166.png
datasets\buildings\image\5329.png datasets\buildings\label2_gray\5329.png datasets\buildings\edge\5329.png
datasets\buildings\image\5112.png datasets\buildings\label2_gray\5112.png datasets\buildings\edge\5112.png
datasets\buildings\image\3128.png datasets\buildings\label2_gray\3128.png datasets\buildings\edge\3128.png
datasets\buildings\image\1761.png datasets\buildings\label2_gray\1761.png datasets\buildings\edge\1761.png
datasets\buildings\image\3788.png datasets\buildings\label2_gray\3788.png datasets\buildings\edge\3788.png
datasets\buildings\image\1402.png datasets\buildings\label2_gray\1402.png datasets\buildings\edge\1402.png
datasets\buildings\image\2012.png datasets\buildings\label2_gray\2012.png datasets\buildings\edge\2012.png
datasets\buildings\image\4951.png datasets\buildings\label2_gray\4951.png datasets\buildings\edge\4951.png
datasets\buildings\image\870.png datasets\buildings\label2_gray\870.png datasets\buildings\edge\870.png
datasets\buildings\image\596.png datasets\buildings\label2_gray\596.png datasets\buildings\edge\596.png
datasets\buildings\image\2694.png datasets\buildings\label2_gray\2694.png datasets\buildings\edge\2694.png
datasets\buildings\image\2493.png datasets\buildings\label2_gray\2493.png datasets\buildings\edge\2493.png
datasets\buildings\image\2096.png datasets\buildings\label2_gray\2096.png datasets\buildings\edge\2096.png
datasets\buildings\image\5504.png datasets\buildings\label2_gray\5504.png datasets\buildings\edge\5504.png
datasets\buildings\image\4853.png datasets\buildings\label2_gray\4853.png datasets\buildings\edge\4853.png
datasets\buildings\image\957.png datasets\buildings\label2_gray\957.png datasets\buildings\edge\957.png
datasets\buildings\image\1017.png datasets\buildings\label2_gray\1017.png datasets\buildings\edge\1017.png
datasets\buildings\image\2383.png datasets\buildings\label2_gray\2383.png datasets\buildings\edge\2383.png
